1,12761,474	
10,50729,2033	
100,805,12	
108,587,10	
111,1142,19	
119,2265,62	
1206,1,0	
122,467,9	
133,620,17	
144,637,2	
155,292,1	
166,127,1	
177,104,0	
18,24188,589	
180,107,0	
188,75,0	
191,149,3	
199,250,0	
207,74,0	
21,23239,574	
210,206,1	
218,85,0	
221,173,5	
229,608,0	
232,44,1	
243,246,0	
254,92,0	
265,33,0	
276,45,0	
287,10,0	
29,29399,717	
290,5,0	
298,2,0	
306,15,0	
32,22768,605	
320,19,0	
328,6,0	
331,38,0	
339,4,0	
342,1,0	
353,3,0	
364,69,0	
375,18,0	
386,13,0	
397,10,0	
405,4,0	
427,8,0	
43,12929,256	
441,7,0	
449,31,0	
463,20,0	
474,12,0	
485,15,0	
496,8,0	
54,5203,107	
551,7,0	
573,4,0	
584,3,0	
65,4140,71	
661,20,0	
76,2217,24	
812,7,0	
823,3,0	
87,2095,39	
9,52757,2054	
90,796,21	
911,4,0	
922,5,0	
98,1197,27	
101,1350,35	
1034,1,0	
109,588,11	
1092,1,0	
11,48823,1594	
1108,27,0	
112,1100,27	
1122,22,0	
123,465,0	
134,1201,24	
145,208,1	
156,47,0	
167,168,0	
170,175,3	
178,376,8	
181,261,0	
189,96,0	
19,32680,953	
192,178,0	
2,33720,1414	
200,103,3	
208,306,0	
211,182,0	
219,126,0	
22,28075,696	
222,47,0	
233,66,0	
244,40,0	
255,57,0	
266,33,0	
277,35,0	
280,259,0	
288,55,0	
291,21,0	
299,118,3	
307,34,0	
310,31,0	
318,4,0	
321,12,0	
329,51,0	
33,14061,429	
343,69,0	
354,23,0	
376,21,0	
390,12,0	
406,2,0	
417,9,0	
420,4,0	
431,32,0	
44,13888,390	
442,5,0	
464,2,0	
497,4,0	
516,3,0	
527,14,0	
549,3,0	
55,9817,380	
563,6,0	
585,5,0	
604,2,0	
626,37,0	
651,1,0	
66,2510,29	
673,8,0	
725,8,0	
77,1941,38	
80,1420,17	
802,16,0	
835,1,0	
88,1591,16	
91,1178,13	
923,1,0	
967,3,0	
99,1579,22	
102,749,19	
1093,39,0	
113,587,13	
12,35220,1183	
1208,23,0	
124,610,1	
1299,1,0	
135,222,1	
146,114,4	
157,122,0	
160,63,1	
168,349,0	
171,51,0	
179,264,0	
182,174,2	
193,200,7	
201,67,6	
209,366,3	
212,18,0	
223,99,0	
23,29374,827	
234,7,0	
245,20,0	
256,24,0	
267,25,0	
270,9,0	
278,31,0	
281,70,0	
289,43,0	
292,22,0	
3,53692,2530	
300,37,0	
308,4,0	
311,27,0	
319,22,0	
322,2,0	
333,19,0	
34,20676,559	
344,4,0	
355,1,0	
366,5,0	
377,3,0	
388,20,0	
391,16,0	
407,6,0	
410,1,0	
421,4,0	
432,2,0	
443,8,0	
45,8743,210	
454,106,0	
465,5,0	
476,2,0	
517,104,0	
520,2,0	
531,1,0	
542,12,0	
56,7959,121	
564,2,0	
575,18,0	
605,2,0	
616,2,0	
638,12,0	
67,3666,64	
70,2668,45	
704,17,0	
748,10,0	
78,2325,26	
81,1372,20	
814,3,0	
89,2910,45	
92,954,14	
935,4,0	
960,4,0	
993,6,0	
103,1206,21	
1047,7,0	
1072,3,0	
114,404,11	
125,738,24	
13,37597,1217	
136,213,0	
147,161,6	
150,554,11	
158,116,7	
161,245,7	
169,123,0	
172,107,0	
183,185,0	
194,466,2	
202,79,0	
213,100,1	
224,375,6	
235,89,0	
24,20922,528	
246,21,3	
257,3,0	
260,15,0	
268,53,0	
271,112,0	
279,151,0	
282,161,1	
293,10,0	
301,12,0	
309,195,0	
312,48,0	
323,6,0	
334,9,0	
345,32,0	
35,18612,333	
356,54,0	
367,4,0	
370,41,0	
378,7,0	
381,1,0	
389,70,0	
4,66268,3400	
400,20,0	
408,2,0	
411,6,0	
419,8,0	
422,24,0	
433,10,0	
455,4,0	
46,7811,184	
477,7,0	
480,2,0	
488,2,0	
491,1,0	
510,16,0	
529,4,0	
532,47,0	
57,4333,94	
587,1,0	
590,5,0	
598,15,0	
60,3593,85	
617,4,0	
620,1,0	
664,15,0	
68,2793,48	
71,3794,75	
738,6,0	
79,4822,96	
82,1371,22	
851,5,0	
93,1069,34	
947,8,0	
972,4,0	
104,839,15	
115,564,2	
126,213,1	
1260,2,0	
137,271,3	
14,36660,1092	
140,346,7	
148,818,20	
1499,2,0	
151,180,0	
159,516,8	
162,141,0	
173,168,0	
184,104,2	
195,139,0	
203,64,0	
214,147,0	
225,45,0	
236,18,0	
247,98,0	
25,25657,713	
250,17,0	
258,132,0	
261,25,0	
269,69,0	
272,67,0	
283,12,0	
302,34,0	
313,10,0	
324,19,0	
335,16,0	
346,36,0	
357,11,0	
36,12337,414	
360,240,0	
368,10,0	
371,21,0	
379,43,0	
382,189,0	
393,16,0	
401,5,0	
409,3,0	
412,1,0	
423,21,0	
434,6,0	
445,77,0	
456,1,0	
47,12471,297	
478,17,0	
489,2,0	
5,71669,3360	
50,6251,115	
511,6,0	
519,15,0	
522,8,0	
58,4685,84	
599,11,0	
61,3265,72	
610,2,0	
69,3012,30	
690,2,0	
72,1309,27	
731,1,0	
797,23,0	
805,3,0	
83,1776,13	
863,1,0	
874,8,0	
94,1691,41	
959,1,0	
105,792,46	
116,616,8	
127,939,20	
130,533,4	
138,306,7	
141,132,0	
149,570,9	
15,32000,901	
152,199,5	
163,135,6	
174,113,0	
185,367,12	
196,70,0	
204,28,0	
215,33,0	
226,21,0	
237,84,0	
240,58,2	
248,6,0	
251,139,0	
259,93,0	
26,21454,481	
262,38,0	
273,120,0	
284,52,3	
295,60,1	
303,44,0	
314,27,0	
325,11,0	
336,53,0	
347,11,0	
350,1,0	
361,23,0	
369,2,0	
37,22433,572	
372,1,0	
383,19,0	
394,33,0	
40,12204,229	
402,3,0	
413,2,0	
435,6,0	
460,5,0	
468,7,0	
471,1,0	
479,36,0	
48,5595,104	
482,3,0	
493,19,0	
501,7,0	
509,72,4	
51,7692,149	
512,3,0	
523,4,0	
545,1,0	
567,5,0	
59,15031,341	
6,64805,3061	
619,1,0	
62,3277,49	
644,2,0	
691,1,0	
729,12,0	
73,1701,23	
84,1204,19	
864,2,0	
886,7,0	
897,11,0	
930,2,0	
949,1,0	
95,1734,36	
list index out of range,	
1020,11,0	
1031,1,0	
106,1271,37	
1064,45,0	
117,473,3	
120,644,6	
1237,6,0	
128,294,2	
1295,2,0	
131,365,0	
139,830,13	
142,481,1	
153,379,4	
16,28776,879	
164,744,7	
175,239,6	
186,169,0	
197,73,0	
205,53,0	
216,81,0	
227,90,0	
230,42,0	
238,31,0	
241,59,0	
249,12,0	
252,221,11	
263,46,0	
27,27105,711	
274,53,0	
285,42,0	
296,44,0	
30,15383,407	
304,2,0	
315,9,0	
326,15,0	
337,69,0	
340,9,0	
348,13,0	
359,18,0	
362,4,0	
373,4,0	
38,11913,352	
384,1,0	
395,2,0	
403,8,0	
41,17823,593	
414,32,0	
425,15,0	
436,3,0	
450,17,0	
458,18,0	
461,5,0	
469,10,0	
483,18,0	
49,12046,328	
494,2,0	
502,5,0	
513,1,0	
52,7085,251	
546,113,0	
557,1,0	
623,14,0	
63,5138,139	
656,11,0	
692,1,0	
7,67642,3272	
719,69,0	
74,5226,89	
744,8,0	
777,1,0	
780,6,0	
85,1237,11	
887,4,0	
96,812,4	
997,6,0	
0,11911224,157374	
107,779,4	
110,828,15	
1128,3,0	
118,1997,94	
121,207,4	
129,519,2	
132,216,4	
143,215,1	
154,732,5	
165,99,5	
17,32913,933	
176,31,0	
187,121,0	
190,300,0	
198,21,0	
20,28991,717	
206,311,0	
217,63,0	
220,27,0	
228,32,0	
231,9,0	
239,355,10	
242,62,0	
253,44,0	
264,43,0	
275,5,0	
28,23499,546	
286,10,0	
297,29,0	
305,26,0	
31,18914,456	
316,53,0	
327,18,0	
330,18,0	
338,6,0	
341,6,0	
349,6,0	
352,14,0	
363,48,0	
374,17,0	
39,17562,510	
404,18,0	
415,19,0	
42,11072,366	
426,2,0	
437,22,0	
440,2,0	
448,28,0	
451,12,0	
459,11,0	
473,20,0	
484,15,0	
503,12,0	
514,1,0	
53,7105,153	
536,2,0	
583,10,0	
64,3327,52	
657,3,0	
671,4,0	
709,10,0	
75,1765,39	
8,63781,2818	
86,1444,25	
899,1,0	
97,958,17	
